,,,,,,,,,,,,,,,
编码,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,外径/Φ,单位,单重,单重单位,备注
SPC00303,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x1",,个,,Kg,
SPC00304,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/2"x1",,个,,Kg,
SPC00305,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x1",,个,,Kg,
SPC00306,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1-1/2"x1",,个,,Kg,
SPC00307,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/2"x1",,个,0.52,Kg,
SPC00308,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/2"x1",,个,,Kg,
SPC00309,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2"x1",,个,0.52,Kg,
SPC00310,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1-1/2"x1",,个,,Kg,
SPC00311,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1-1/2"x1",,个,0.5,Kg,
SPC00312,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2"x1",,个,0.6,Kg,
SPC00315,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/2"x1-1/4",,个,,Kg,
SPC00320,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2"x1-1/4",,个,,Kg,
SPC00323,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2"x1-1/4",,个,,Kg,
SPC00337,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,2"x1/4",,个,,Kg,
