,编码,类型,英文品名,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级 ,公称直径,外径/Φ,单位,单重,单重单位,备注,
,SPC00244,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"1-1/4""x1""",,个,,Kg,,
,SPC00245,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"1-1/4""x1""",,个,,Kg,,
,SPC00246,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/4""x1""",,个,,Kg,,
,SPC00260,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/4""",,个,,Kg,,
,SPC00265,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1/4""",,个,,Kg,,
,SPC00268,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/2""x1/4""",,个,,Kg,,
,SPC00271,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/8""",,个,,Kg,,
,SPC00276,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x3/8""",,个,,Kg,,
,SPC00279,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/2""x3/8""",,个,,Kg,,
,SPC00280,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,Kg,,
,SPC00281,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,Kg,,
,SPC00282,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,Kg,,
,SPC00283,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,Kg,,
,SPC00284,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,Kg,,
,SPC00285,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1/2""",,个,0.52 ,Kg,,
